2026-05-22 10:27:57 | DEBUG    | peewee                         | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['LOMA', 1, 0])
2026-05-22 10:27:57 | DEBUG    | yfinance                       |  Entering history()
2026-05-22 10:27:57 | DEBUG    | yfinance                       | LOMA: Yahoo GET parameters: {'period1': '2024-01-01 00:00:00-05:00', 'period2': '2024-01-31 00:00:00-05:00', 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-05-22 10:27:57 | DEBUG    | yfinance                       |   Entering get()
2026-05-22 10:27:57 | DEBUG    | yfinance                       |    Entering _make_request()
2026-05-22 10:27:57 | DEBUG    | yfinance                       | url=https://query2.finance.yahoo.com/v8/finance/chart/LOMA
2026-05-22 10:27:57 | DEBUG    | yfinance                       | params=frozendict.frozendict({'period1': 1704085200, 'period2': 1706677200, 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'})
2026-05-22 10:27:57 | DEBUG    | yfinance                       |     Entering _get_cookie_and_crumb()
2026-05-22 10:27:57 | DEBUG    | yfinance                       | cookie_mode = 'basic'
2026-05-22 10:27:57 | DEBUG    | yfinance                       |      Entering _get_cookie_and_crumb_basic()
2026-05-22 10:27:57 | DEBUG    | yfinance                       |       Entering _get_cookie_basic()
2026-05-22 10:27:57 | DEBUG    | yfinance                       | reusing cookie
2026-05-22 10:27:57 | DEBUG    | yfinance                       |       Exiting _get_cookie_basic()
2026-05-22 10:27:57 | DEBUG    | yfinance                       |       Entering _get_crumb_basic()
2026-05-22 10:27:57 | DEBUG    | yfinance                       | reusing crumb
